track_name,artist(s)_name,released_year,in_spotify_charts,streams
ýýýabcdefu,Gayle,2021,0,1007612429
Anti-Hero,Taylor Swift,2022,56,999748277
Arcade,Duncan Laurence,2019,0,991336132
Glimpse of Us,Joji,2022,6,988515741
Summertime Sadness,Lana Del Rey,2011,52,983637508
Where Are You Now,"Lost Frequencies, Calum Scott",2021,44,972509632
I Love You So,The Walters,2014,7,972164968
No Lie,"Sean Paul, Dua Lipa",2016,0,956865266
HEARTBREAK ANNIVERSARY,Giveon,2020,4,951637566
Sure Thing,Miguel,2010,19,950906471
Unstoppable,Sia,2016,13,939844851
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",2013,0,933815613
Under The Influence,Chris Brown,2019,26,929964809
Wait a Minute!,Willow,2015,0,924193303
THATS WHAT I WANT,Lil Nas X,2021,0,920797189
Dark Red,Steve Lacy,2017,7,920045682
Stan,"Eminem, Dido",1999,0,918915401
Moscow Mule,Bad Bunny,2022,33,909001996
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2022,77,899183384
Infinity,Jaymes Young,2017,0,888046992
Heartless,Kanye West,2008,34,887906111
PROVENZA,Karol G,2022,34,885093467
Lover,Taylor Swift,2012,23,882831184
MIDDLE OF THE NIGHT,Elley Duhï¿,2020,8,872137015
Streets,Doja Cat,2019,0,865640097
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",2021,0,863756573
MONEY,Lisa,2021,13,863625566
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,2021,0,851070493
happier,Olivia Rodrigo,2021,4,850608354
Creepin',"The Weeknd, 21 Savage, Metro Boomin",2022,88,843957510
The Next Episode,"Dr. Dre, Snoop Dogg",1999,0,843309044
Apocalypse,Cigarettes After Sex,2017,17,841749534
Dream On,Aerosmith,1973,0,838586769
Bones,Imagine Dragons,2021,44,838079900
Santa Tell Me,Ariana Grande,2013,0,834129063
Good Days,SZA,2020,2,826623384
Freaks,Surf Curse,2015,3,824420218
Bad Habit,Steve Lacy,2022,12,822633917
Lost,Frank Ocean,2012,11,822239726
cardigan,Taylor Swift,2020,29,812019557
Desesperados,"Chencho Corleone, Rauw Alejandro",2021,34,809306935
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,2011,0,807561936
Golden,Harry Styles,2019,1,807015863
Pink + White,Frank Ocean,2016,30,806397070
Cruel Summer,Taylor Swift,2019,100,800840817
RAPSTAR,Polo G,2021,0,797402345
Levitating,Dua Lipa,2020,0,797196073
Space Song,Beach House,2015,4,789753877
Style,Taylor Swift,2014,42,786181836
favorite crime,Olivia Rodrigo,2021,0,783706581
DESPECHï¿,ROSALï¿½,2022,33,782369383
Bored,Billie Eilish,2017,0,777765388
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",2021,26,775542072
Rockin' Around The Christmas Tree,Brenda Lee,1958,0,769213520
La Santa,"Daddy Yankee, Bad Bunny",2020,20,759208783
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2022,4,756907987
golden hour,JVKE,2022,36,751134527
Late Night Talking,Harry Styles,2022,8,743693613
Jingle Bell Rock,Bobby Helms,1957,0,741301563
love nwantiti (ah ah ah),Ckay,2019,2,726837877
Until I Found You,Stephen Sanchez,2021,4,726434358
SNAP,Rosa Linn,2022,18,726307468
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023,50,725980112
About Damn Time,Lizzo,2022,2,723894473
About Damn Time,Lizzo,2022,0,723894473
we fell in love in october,girl in red,2018,0,723043854
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2023,44,721975598
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2021,0,720825549
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",2022,39,720434240
MAMIII,"Karol G, Becky G",2022,28,716591492
SNAP,Rosa Linn,2022,0,711366595
I Was Never There,"The Weeknd, Gesaffelstein",2018,15,705469769
Master of Puppets (Remastered),Metallica,1986,0,704171068
Bound 2,Kanye West,2013,7,703301727
After Hours,The Weeknd,2020,6,698086140
First Class,Jack Harlow,2022,0,694525298
Snowman,Sia,2017,0,690104769
Lost in the Fire,"The Weeknd, Gesaffelstein",2019,2,686734357
A Tu Merced,Bad Bunny,2020,11,685071800
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,2017,23,685032533
Reminder,The Weeknd,2016,17,684675814
Una Noche en Medellï¿½,Cris Mj,2022,32,682475162
Romantic Homicide,d4vd,2022,23,681583126
Cool for the Summer,Demi Lovato,2015,0,677389855
Forgot About Dre,"Eminem, Dr. Dre",1999,0,675039469
Do It To It,"Cherish, ACRAZE",2021,0,674772936
Hey Mor,"Ozuna, Feid",2022,38,674072710
Volvï¿,"Aventura, Bad Bunny",2021,10,673801126
You Right,"Doja Cat, The Weeknd",2021,0,672656250
Neverita,Bad Bunny,2022,30,671365962
"jealousy, jealousy",Olivia Rodrigo,2021,0,665765558
It's the Most Wonderful Time of the Year,Andy Williams,1963,0,663832097
Gasolina,Daddy Yankee,2004,18,657723613
The Motto,"Tiï¿½ï¿½sto, Ava",2021,6,656013912
Superman,"Eminem, Dina Rae",2002,14,655466831
Sunroof,"Nicky Youre, Dazy",2021,17,652704649
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2021,4,651732901
After Dark,Mr.Kitty,2014,14,646886885
Here With Me,d4vd,2022,23,635412045
Mistletoe,Justin Bieber,2011,0,629173063
2055,Sleepy hallow,2021,0,624515457
Sparks,Coldplay,2000,4,624101957
Enchanted,Taylor Swift,2010,16,621660989
TQG,"Karol G, Shakira",2023,49,618990393
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022,27,618885532
Party,"Bad Bunny, Rauw Alejandro",2022,4,614555082
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2021,17,611994237
Stargirl Interlude,"The Weeknd, Lana Del Rey",2016,32,611700552
Volando - Remix,"Sech, Bad Bunny, Mora",2021,19,610045621
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2022,14,609293408
Permission to Dance,BTS,2021,2,608334048
Tarot,"Bad Bunny, Jhay Cortez",2022,20,608228647
august,Taylor Swift,2020,22,607123776
Te Felicito,"Shakira, Rauw Alejandro",2022,9,606361689
Feliz Cumpleaï¿½ï¿½os Fe,Feid,2022,38,601863821
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2022,30,600976848
Softcore,The Neighbourhood,2018,12,599770206
Miï¿½ï¿½n,"Tini, Maria Becerra",2021,16,596152090
CUFF IT,Beyoncï¿,2022,10,595900742
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",2021,0,594482982
Fair Trade (with Travis Scott),"Drake, Travis Scott",2021,6,593917618
Only Love Can Hurt Like This,Paloma Faith,2014,0,588955257
Yandel 150,"Yandel, Feid",2022,38,585695368
